iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MMR,Myanmar,4517412,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,1626595.516122689,4487477.704895373
AFG,Afghanistan,2944269,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,1432447.0227068102,2970341.769749864
SDN,Sudan,2939958,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1158430.844136611,2848086.2420926145
YEM,Yemen,3094006,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,913389.9796728669,2279187.6829743497
COL,Colombia,1207922,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,1135944.3240024063,1997791.3509369432
COD,Democratic Republic of the Congo,1186506,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,903467.7578117843,1717187.4256797112
MLI,Mali,1135697,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,860686.4960537718,1636384.952292207
SOM,Somalia,1505438,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,536714.1047837912,1483898.416797575
VEN,Venezuela,630804,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,846868.9686745114,1327993.593273634
SSD,South Sudan,827902,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,385736.1015957919,765278.3891524584
NGA,Nigeria,439626,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,327085.64159409347,610136.353237872
HTI,Haiti,461458,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,281263.61044618627,588656.0926679152
HND,Honduras,276372,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,247418.18354077396,467284.0802351904
SLV,El Salvador,235165,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,306502.8955371346,465787.49765910534
CMR,Cameroon,295354,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,261664.10253215986,463346.6650533247
UKR,Ukraine,1208002,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,100509.00104584664,449492.69770397944
BFA,Burkina Faso,315876,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,256310.2518613663,437252.338319284
GTM,Guatemala,359525,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,230421.4941334121,435981.64086538006
CAF,Central African Republic,455065,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,140902.73303107536,379941.94014383596
NER,Niger,140685,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,52566.038332276476,134506.0157887554
MOZ,Mozambique,124581,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,41169.48299895462,125461.30268178051
TCD,Chad,61376,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,22311.90301270419,59215.66190177242
