iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
COD,Democratic Republic of the Congo,2597302,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,1781260.0364369855
AFG,Afghanistan,3392653,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,1772101.4035198067
SOM,Somalia,1557660,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,980041.1012950322
BFA,Burkina Faso,1573606,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,901402.9331215355
MLI,Mali,1067287,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,728973.3778141094
NGA,Nigeria,896658,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,577308.177862745
CMR,Cameroon,840995,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,574273.6738540431
SSD,South Sudan,1167606,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,535275.7357813959
NER,Niger,550117,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,320407.82299766014
MOZ,Mozambique,224429,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,151849.2290124251
