iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,3972054,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,2074742.824643859
BFA,Burkina Faso,1764805,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1010926.752559123
COD,Democratic Republic of the Congo,1006763,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,690449.8198759363
NGA,Nigeria,935592,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,602375.6133809783
CMR,Cameroon,841925,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,574908.7246173464
SOM,Somalia,778830,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,490020.5506475161
NER,Niger,662269,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,385729.1603946749
MLI,Mali,533643,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,364486.34739939193
SSD,South Sudan,434492,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,199187.93239425824
MOZ,Mozambique,252918,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,171124.95846510268
