iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SOM,Somalia,778830,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,490020.5506475161
AFG,Afghanistan,704768,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,368124.99302340887
MLI,Mali,533643,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,364486.34739939193
COD,Democratic Republic of the Congo,495950,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,340128.3004713826
SSD,South Sudan,483312,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,221568.90801518495
BFA,Burkina Faso,375958,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,215358.63737842016
CMR,Cameroon,216516,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,147848.01190040607
NGA,Nigeria,215491,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,138742.66058611064
NER,Niger,111883,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,65164.662172678196
MOZ,Mozambique,52454,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,35490.50906352452
