iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
COD,Democratic Republic of the Congo,2597302,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,5343780.109310957
AFG,Afghanistan,3392653,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,5316304.21055942
SOM,Somalia,1557660,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,2940123.3038850967
BFA,Burkina Faso,1573606,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,2704208.7993646064
MLI,Mali,1067287,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,2186920.1334423283
NGA,Nigeria,896658,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,1731924.533588235
CMR,Cameroon,840995,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,1722821.0215621293
SSD,South Sudan,1167606,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,1605827.207344188
NER,Niger,550117,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,961223.4689929804
MOZ,Mozambique,224429,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,455547.6870372753
