iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
COD,Democratic Republic of the Congo,2597302,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,1977721.6586347332,3758981.6950717187
AFG,Afghanistan,3392653,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,1650594.9996169943,3422696.403136801
BFA,Burkina Faso,1573606,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1276866.0809639136,2178269.0140854493
MLI,Mali,1067287,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,808842.0664259411,1537815.4442400504
SOM,Somalia,1557660,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,555332.1308865063,1535373.2321815384
CMR,Cameroon,840995,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,745065.9273584709,1319339.601212514
NGA,Nigeria,896658,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,667121.501504635,1244429.67936738
SSD,South Sudan,1167606,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,544010.9899962267,1079286.7257776228
NER,Niger,550117,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,205547.6512011724,525955.4741988325
MOZ,Mozambique,224429,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,74165.61032559047,226014.83933801556
