iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,3972054,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,1932485.423828691,4007228.24847255
BFA,Burkina Faso,1764805,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1432010.0736877716,2442936.8262468944
COD,Democratic Republic of the Congo,1006763,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,766602.0317283396,1457051.8516042759
CMR,Cameroon,841925,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,745889.8458270031,1320798.5704443497
NGA,Nigeria,935592,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,696088.742681964,1298464.3560629422
MLI,Mali,533643,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,404420.6542886201,768907.001688012
SOM,Somalia,778830,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,277666.06544325314,767686.6160907692
NER,Niger,662269,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,247452.5190338587,633181.6794285337
SSD,South Sudan,434492,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,202438.5135614587,401626.44595571695
MOZ,Mozambique,252918,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,83580.18719651958,254705.14566162226
