iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MLI,Mali,533643,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,404420.6542886201,768907.001688012
SOM,Somalia,778830,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,277666.06544325314,767686.6160907692
COD,Democratic Republic of the Congo,510741,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,388904.92428403103,739177.0652479476
AFG,Afghanistan,701857,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,341467.7701038641,708072.2459433328
BFA,Burkina Faso,315245,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,255798.24155059713,436378.87460099126
SSD,South Sudan,467047,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,217606.53923050046,431718.94236091746
CMR,Cameroon,203515,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,180300.82486383294,319271.10023337207
NGA,Nigeria,213305,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,158700.81109904352,296036.0279587747
NER,Niger,107098,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,40016.47349262641,102394.18046660359
MOZ,Mozambique,45514,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,15040.719284757874,45835.606796048814
