iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MLI,Mali,533643,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,404420.6542886201,768907.001688012
SOM,Somalia,778830,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,277666.06544325314,767686.6160907692
COD,Democratic Republic of the Congo,495950,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,377642.2828765758,717770.5833479584
AFG,Afghanistan,704768,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,342884.03107835364,711009.0241017626
BFA,Burkina Faso,375958,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,305062.3968560307,520421.03423445084
SSD,South Sudan,483312,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,225184.72806499482,446753.6360801798
CMR,Cameroon,216516,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,191818.8506803806,339666.8625807867
NGA,Nigeria,215491,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,160327.21447947298,299069.8750655836
NER,Niger,111883,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,41804.35772633962,106969.01989901782
MOZ,Mozambique,52454,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,17334.136515417,52824.64557894152
