iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,12998744,4162518656.0,1770232060,0.4252790693077917,0.0,0,1.0,7470650.249509758
MMR,Myanmar,7304649,1412961603.0,518131403,0.36669885572255,0.0,0,1.0,4626042.570245131
AFG,Afghanistan,4369984,2416811546.0,1154426288,0.4776650003640789,0.0,0,1.0,2282595.591048981
YEM,Yemen,5098096,2478772922.0,1384559671,0.5585665627986879,0.0,0,1.0,2250470.0404622606
COD,Democratic Republic of the Congo,2419968,2538016151.0,797415042,0.3141883244855679,0.0,0,1.0,1659642.3087713092
UKR,Ukraine,5435923,2633534010.0,1872723652,0.7111066896759005,0.0,0,1.0,1570401.7901369098
NGA,Nigeria,1820281,910246471.0,324189433,0.35615566039365615,0.0,0,1.0,1171977.6183429752
SOM,Somalia,1766502,1430543255.0,530480862,0.37082476195380754,0.0,0,1.0,1111439.316359075
BFA,Burkina Faso,1909220,792565236.0,338563009,0.4271736806281016,0.0,0,1.0,1093651.4654712158
SSD,South Sudan,2381176,1694778653.0,917826590,0.5415613350895799,0.0,0,1.0,1091623.1463567344
MLI,Mali,1344844,771314315.0,244494817,0.3169846743995669,0.0,0,1.0,918549.0625417888
COL,Colombia,688477,809539590.0,231936658,0.28650440431208557,0.0,0,1.0,491225.3072324283
NER,Niger,672704,603027582.0,251802743,0.417564221797072,0.0,0,1.0,391806.8777402225
CAF,Central African Republic,515522,326056578.0,154783670,0.47471414608295376,0.0,0,1.0,270796.4139830235
MMR,Myanmar,333977,1412961603.0,518131403,0.36669885572255,0.0,0,1.0,211508.0162623499
