iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,12998744,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,22411950.748529274
MMR,Myanmar,7304649,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,13878127.710735392
AFG,Afghanistan,4369984,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,6847786.773146943
YEM,Yemen,5098096,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,6751410.121386781
COD,Democratic Republic of the Congo,2419968,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,4978926.926313927
UKR,Ukraine,5435923,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,4711205.370410729
NGA,Nigeria,1820281,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,3515932.8550289255
SOM,Somalia,1766502,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,3334317.9490772253
BFA,Burkina Faso,1909220,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,3280954.3964136476
SSD,South Sudan,2381176,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,3274869.4390702033
MLI,Mali,1344844,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,2755647.1876253663
COL,Colombia,688477,809539590.0,231936658,0.28650440431208557,1903251829.0,5,3.0,1473675.9216972848
NER,Niger,672704,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,1175420.6332206675
CAF,Central African Republic,515522,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,812389.2419490705
MMR,Myanmar,333977,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,634524.0487870497
