iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,12998744,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,5121891.532000018,12592541.781509776
MMR,Myanmar,7638626,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,2750458.6256330376,7588009.212140518
AFG,Afghanistan,4369984,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,2126086.498915825,4408682.089964806
YEM,Yemen,5098096,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1505022.8738439176,3755492.914306178
COD,Democratic Republic of the Congo,2419968,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,1842690.2712133506,3502332.57998466
BFA,Burkina Faso,1909220,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1549192.2750027154,2642843.740473931
NGA,Nigeria,1820281,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1354305.2020729848,2526282.8204159597
SSD,South Sudan,2381176,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1109437.5269699327,2201060.6733266674
UKR,Ukraine,5435923,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,452283.34927602916,2022685.139412939
MLI,Mali,1344844,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1019188.2782986471,1937737.340840436
SOM,Somalia,1766502,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,629787.8355194812,1741227.1518785562
COL,Colombia,688477,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,647452.0212035254,1138677.3284359537
NER,Niger,672704,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,251351.48914437016,643158.3668845927
CAF,Central African Republic,515522,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,159622.16109269232,430418.5750757158
