iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
AFG,Afghanistan,22258295,2416811546.0,1154426288,0.4776650003640789,0.0,0,1.0,11626286.510721225
YEM,Yemen,16989029,2478772922.0,1384559671,0.5585665627986879,0.0,0,1.0,7499525.46618277
YEM,Yemen,16989029,2478772922.0,1384559671,0.5585665627986879,0.0,0,1.0,7499525.46618277
AFG,Afghanistan,14213777,2416811546.0,1154426288,0.4776650003640789,0.0,0,1.0,7424353.204120064
MMR,Myanmar,10658023,1412961603.0,518131403,0.36669885572255,0.0,0,1.0,6749738.16163538
SDN,Sudan,11725110,4162518656.0,1770232060,0.4252790693077917,0.0,0,1.0,6738666.131668518
COD,Democratic Republic of the Congo,7870319,2538016151.0,797415042,0.3141883244855679,0.0,0,1.0,5397556.66022307
VEN,Venezuela,6187970,606497714.0,143911895,0.23728349122845993,0.0,0,1.0,4719666.874783027
COL,Colombia,5477222,809539590.0,231936658,0.28650440431208557,0.0,0,1.0,3907973.77360495
COD,Democratic Republic of the Congo,5000169,2538016151.0,797415042,0.3141883244855679,0.0,0,1.0,3429174.2797453227
UKR,Ukraine,9841297,2633534010.0,1872723652,0.7111066896759005,0.0,0,1.0,2843084.868212629
UKR,Ukraine,9533810,2633534010.0,1872723652,0.7111066896759005,0.0,0,1.0,2754253.930901003
NGA,Nigeria,3961393,910246471.0,324189433,0.35615566039365615,0.0,0,1.0,2550520.4600061933
SSD,South Sudan,5342406,1694778653.0,917826590,0.5415613350895799,0.0,0,1.0,2449165.474049418
BFA,Burkina Faso,3756956,792565236.0,338563009,0.4271736806281016,0.0,0,1.0,2152083.2775221695
MLI,Mali,3137346,771314315.0,244494817,0.3169846743995669,0.0,0,1.0,2142855.3997112163
SOM,Somalia,3349130,1430543255.0,530480862,0.37082476195380754,0.0,0,1.0,2107189.6649976447
HTI,Haiti,2160007,908159989.0,303204493,0.33386682596958145,0.0,0,1.0,1438852.3188379223
MMR,Myanmar,2243395,1412961603.0,518131403,0.36669885572255,0.0,0,1.0,1420744.62056631
MMR,Myanmar,2222204,1412961603.0,518131403,0.36669885572255,0.0,0,1.0,1407324.3360179265
CMR,Cameroon,1900816,359298328.0,113951363,0.3171497168781704,0.0,0,1.0,1297972.7437625036
SSD,South Sudan,2633491,1694778653.0,917826590,0.5415613350895799,0.0,0,1.0,1207294.098093607
MLI,Mali,1753222,771314315.0,244494817,0.3169846743995669,0.0,0,1.0,1197477.4951798425
CMR,Cameroon,1693793,359298328.0,113951363,0.3171497168781704,0.0,0,1.0,1156607.0295997732
GTM,Guatemala,1708044,100563396.0,43065791,0.4282451937084543,0.0,0,1.0,976582.3663574368
HND,Honduras,1169056,138491372.0,28315487,0.20445668629811828,0.0,0,1.0,930034.684143067
NER,Niger,1208627,603027582.0,251802743,0.417564221797072,0.0,0,1.0,703947.6073020702
CAF,Central African Republic,1315663,326056578.0,154783670,0.47471414608295376,0.0,0,1.0,691099.1624220627
MOZ,Mozambique,817779,682722983.0,220790886,0.3233974708597147,0.0,0,1.0,553311.3396778133
SOM,Somalia,804574,1430543255.0,530480862,0.37082476195380754,0.0,0,1.0,506218.03797577723
SLV,El Salvador,744567,66923449.0,21594106,0.32266875546118373,0.0,0,1.0,504318.49275253277
TCD,Chad,727581,1454258243.0,579851381,0.398726556160906,0.0,0,1.0,437475.1335418918
MOZ,Mozambique,558428,682722983.0,220790886,0.3233974708597147,0.0,0,1.0,377833.7971427512
HTI,Haiti,466589,908159989.0,303204493,0.33386682596958145,0.0,0,1.0,310810.41153767897
MOZ,Mozambique,350000,682722983.0,220790886,0.3233974708597147,0.0,0,1.0,236810.88519909987
HTI,Haiti,349999,908159989.0,303204493,0.33386682596958145,0.0,0,1.0,233145.94477747247
