iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,36472072,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,19050639.714841288
YEM,Yemen,33978058,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,14999050.93236554
MMR,Myanmar,15123622,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,9577807.118219616
COD,Democratic Republic of the Congo,12870488,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,8826730.939968392
SDN,Sudan,11725110,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,6738666.131668518
UKR,Ukraine,19375107,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,5597338.799113632
VEN,Venezuela,6187970,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,4719666.874783027
COL,Colombia,5477222,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,3907973.77360495
SSD,South Sudan,7975897,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,3656459.5721430248
MLI,Mali,4890568,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,3340332.894891059
SOM,Somalia,4153704,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,2613407.7029734217
NGA,Nigeria,3961393,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,2550520.4600061933
CMR,Cameroon,3594609,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,2454579.7733622766
BFA,Burkina Faso,3756956,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,2152083.2775221695
HTI,Haiti,2976595,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,1982808.6751530739
MOZ,Mozambique,1726207,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,1167956.0220196645
GTM,Guatemala,1708044,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,976582.3663574368
HND,Honduras,1169056,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,930034.684143067
NER,Niger,1208627,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,703947.6073020702
CAF,Central African Republic,1315663,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,691099.1624220627
SLV,El Salvador,744567,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,504318.49275253277
TCD,Chad,727581,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,437475.1335418918
