iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,42700815,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,22304130.187478535
YEM,Yemen,16989029,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,7499525.46618277
SDN,Sudan,12097555,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,6952718.0687001785
MMR,Myanmar,7561811,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,4788903.559109808
VEN,Venezuela,4544445,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,3466123.2247042814
COD,Democratic Republic of the Congo,4988844,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,3421407.4625201216
UKR,Ukraine,9687553,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,2798669.255110161
NGA,Nigeria,4133402,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,2661267.4810175407
CMR,Cameroon,3598587,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,2457296.1517885355
BFA,Burkina Faso,4213441,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,2413569.8999206508
COL,Colombia,3240817,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,2312308.6559305196
HTI,Haiti,2516590,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,1676384.0844332112
MLI,Mali,2445284,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1670166.4474455295
SSD,South Sudan,2968008,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1360649.624963446
MOZ,Mozambique,1945337,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,1316219.934230175
SOM,Somalia,2076852,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1306703.8514867108
NER,Niger,1455030,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,847461.5303586064
GTM,Guatemala,1393411,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,796689.4363895089
HND,Honduras,921721,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,733268.978648612
TCD,Chad,896761,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,539198.5747705897
CAF,Central African Republic,657831,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,345549.3185681044
SLV,El Salvador,489682,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,331676.9184882566
