iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,16989029,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,7499525.46618277
MMR,Myanmar,7561811,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,4788903.559109808
AFG,Afghanistan,7545187,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,3941115.2488979567
UKR,Ukraine,9687553,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,2798669.255110161
COD,Democratic Republic of the Congo,2530891,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,1735714.5972543966
MLI,Mali,2445284,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1670166.4474455295
SDN,Sudan,2820444,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,1620968.2006452547
SSD,South Sudan,3190396,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1462600.8827755447
VEN,Venezuela,1914678,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1460356.5195816748
COL,Colombia,1840587,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1313250.7179804314
SOM,Somalia,2076852,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1306703.8514867108
NGA,Nigeria,942374,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,606742.1656921887
CMR,Cameroon,869873,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,593993.0243300353
HTI,Haiti,823940,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,548853.7674106231
BFA,Burkina Faso,752642,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,431133.1466647043
CAF,Central African Republic,657831,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,345549.3185681044
GTM,Guatemala,484955,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,277275.3520851165
HND,Honduras,334775,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,266328.01284454745
MOZ,Mozambique,350079,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,236864.33679890193
SLV,El Salvador,222358,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,150610.0208731621
NER,Niger,235299,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,137046.55617537076
TCD,Chad,133369,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,80191.23793137612
