iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,16989029,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,7499525.46618277
MMR,Myanmar,7561811,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,4788903.559109808
AFG,Afghanistan,7576476,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,3957458.5887015653
UKR,Ukraine,9687553,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,2798669.255110161
COD,Democratic Republic of the Congo,2457597,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,1685448.7163092417
MLI,Mali,2445284,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1670166.4474455295
SDN,Sudan,2855887,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,1641338.0345917786
VEN,Venezuela,2001069,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1526248.361490957
SSD,South Sudan,3301497,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1513533.876885757
COL,Colombia,2016225,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1438567.6574158652
SOM,Somalia,2076852,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1306703.8514867108
CMR,Cameroon,925442,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,631938.3317128322
NGA,Nigeria,952033,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,612961.0581684463
HTI,Haiti,894359,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,595762.1993926711
BFA,Burkina Faso,897593,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,514164.8944839803
CAF,Central African Republic,657831,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,345549.3185681044
GTM,Guatemala,526382,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,300961.4384453564
HND,Honduras,373419,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,297070.988659243
MOZ,Mozambique,403458,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,272980.7032018812
SLV,El Salvador,277366,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,187868.6579727533
NER,Niger,245811,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,143169.12107583994
TCD,Chad,145831,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,87684.30758849891
