iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
AFG,Afghanistan,22258295,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,34878859.53216368
YEM,Yemen,16989029,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,22498576.398548312
YEM,Yemen,16989029,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,22498576.398548312
AFG,Afghanistan,14213777,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,22273059.612360194
MMR,Myanmar,10658023,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,20249214.48490614
SDN,Sudan,11725110,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,20215998.395005554
COD,Democratic Republic of the Congo,7870319,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,16192669.980669208
VEN,Venezuela,6187970,606497714.0,143911895,0.23728349122845993,2035593043.0,5,3.0,14159000.62434908
COL,Colombia,5477222,809539590.0,231936658,0.28650440431208557,1903251829.0,5,3.0,11723921.32081485
COD,Democratic Republic of the Congo,5000169,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,10287522.839235969
UKR,Ukraine,9841297,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,8529254.604637887
UKR,Ukraine,9533810,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,8262761.792703009
NGA,Nigeria,3961393,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,7651561.38001858
SSD,South Sudan,5342406,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,7347496.422148254
BFA,Burkina Faso,3756956,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,6456249.832566509
MLI,Mali,3137346,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,6428566.1991336495
SOM,Somalia,3349130,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,6321568.994992934
HTI,Haiti,2160007,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,4316556.956513767
MMR,Myanmar,2243395,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,4262233.861698929
MMR,Myanmar,2222204,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,4221973.00805378
CMR,Cameroon,1900816,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,3893918.231287511
SSD,South Sudan,2633491,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,3621882.294280821
MLI,Mali,1753222,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,3592432.4855395276
CMR,Cameroon,1693793,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,3469821.0887993197
GTM,Guatemala,1708044,100563396.0,43065791,0.4282451937084543,161129045.0,4,3.0,2929747.09907231
HND,Honduras,1169056,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,2790104.052429201
NER,Niger,1208627,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,2111842.821906211
CAF,Central African Republic,1315663,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,2073297.487266188
MOZ,Mozambique,817779,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,1659934.01903344
SOM,Somalia,804574,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,1518654.1139273318
SLV,El Salvador,744567,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,1512955.4782575984
TCD,Chad,727581,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,1312425.4006256755
MOZ,Mozambique,558428,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,1133501.3914282536
HTI,Haiti,466589,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,932431.234613037
MOZ,Mozambique,350000,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,710432.6555972996
HTI,Haiti,349999,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,699437.8343324175
