iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,36472072,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,17744408.187006153,36795047.90184744
YEM,Yemen,33978058,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,10030755.501425495,25029806.433791034
COD,Democratic Republic of the Congo,12870488,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,9800263.070986135,18626994.01095453
MMR,Myanmar,15123622,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,5445599.323846143,15023406.442065759
VEN,Venezuela,6187970,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,8307492.93296938,13027159.807752408
SDN,Sudan,11725110,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,4620041.876412732,11358708.00808125
COL,Colombia,5477222,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,5150845.205403253,9058818.979008203
SSD,South Sudan,7975897,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,3716129.9471550635,7372589.519298088
UKR,Ukraine,19375107,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,1612060.782785451,7209399.581899083
MLI,Mali,4890568,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,3706310.6054103365,7046643.500301396
CMR,Cameroon,3594609,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,3184585.744357702,5639165.5177199785
NGA,Nigeria,3961393,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,2947311.512538728,5497831.972544922
BFA,Burkina Faso,3756956,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,3048494.784637235,5200578.062159404
SOM,Somalia,4153704,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,1480865.717417026,4094273.4203904476
HTI,Haiti,2976595,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,1814266.6429795688,3797075.3181326427
GTM,Guatemala,1708044,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,1094694.5289635207,2071276.8953209575
HND,Honduras,1169056,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,1046581.1007534883,1976615.7848965554
MOZ,Mozambique,1726207,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,570448.5414242658,1738404.5634439304
SLV,El Salvador,744567,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,970433.2763013106,1474751.7690538433
NER,Niger,1208627,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,451595.64425080374,1155543.251552874
CAF,Central African Republic,1315663,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,407371.5017587898,1098470.6641808525
TCD,Chad,727581,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,264496.16634981637,701971.2998917082
