iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,42700815,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,20774818.915630434,43078949.10310897
YEM,Yemen,16989029,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,5015377.750712748,12514903.216895517
SDN,Sudan,12097555,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,4766796.277579163,11719514.346279342
VEN,Venezuela,4544445,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,6101022.5844288245,9567145.809133105
MMR,Myanmar,7561811,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,2722799.6619230714,7511703.221032879
COD,Democratic Republic of the Congo,4988844,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,3798766.885926218,7220174.348446339
BFA,Burkina Faso,4213441,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,3418898.9474129314,5832468.847333582
NGA,Nigeria,4133402,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,3075287.7335196487,5736555.214537189
CMR,Cameroon,3598587,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,3188109.9891618113,5645406.140950346
COL,Colombia,3240817,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,3047703.143315965,5360011.799246484
UKR,Ukraine,9687553,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,806030.3497913867,3604699.6049015475
MLI,Mali,2445284,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1853155.3027051683,3523321.750150698
HTI,Haiti,2516590,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,1533888.651649268,3210272.7360824794
SSD,South Sudan,2968008,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1382854.29365447,2743503.9186179163
SOM,Somalia,2076852,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,740432.858708513,2047136.7101952238
MOZ,Mozambique,1945337,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,642863.0252505388,1959082.959480714
GTM,Guatemala,1393411,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,893044.5575743882,1689733.9939638972
HND,Honduras,921721,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,825157.8870196175,1558426.8656682295
NER,Niger,1455030,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,543662.5280208426,1391124.058379449
SLV,El Salvador,489682,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,638228.2690554085,969905.1875436651
TCD,Chad,896761,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,325997.85677749646,865196.4315480862
CAF,Central African Republic,657831,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,203685.59606334334,549234.9146314478
