iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,16989029,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,5015377.750712748,12514903.216895517
AFG,Afghanistan,7545187,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,3670887.6308231787,7612002.879721135
MMR,Myanmar,7561811,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,2722799.6619230714,7511703.221032879
VEN,Venezuela,1914678,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,2570499.5263247797,4030856.0459064543
COD,Democratic Republic of the Congo,2530891,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,1927152.8479721337,3662867.4452265305
UKR,Ukraine,9687553,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,806030.3497913867,3604699.6049015475
MLI,Mali,2445284,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1853155.3027051683,3523321.750150698
COL,Colombia,1840587,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,1730910.071579636,3044160.7895600675
SSD,South Sudan,3190396,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1486469.3110861043,2949070.193861649
SDN,Sudan,2820444,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1111338.7755063304,2732306.976151585
SOM,Somalia,2076852,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,740432.858708513,2047136.7101952238
CMR,Cameroon,869873,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,770649.9247071565,1364642.949037192
NGA,Nigeria,942374,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,701134.6108091702,1307876.776501359
HTI,Haiti,823940,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,502200.2851636134,1051054.0525742364
BFA,Burkina Faso,752642,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,610713.889568826,1041847.0362335303
GTM,Guatemala,484955,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,310810.25154709374,588085.6036322103
HND,Honduras,334775,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,299702.6558220898,566030.6686666373
CAF,Central African Republic,657831,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,203685.59606334334,549234.9146314478
SLV,El Salvador,222358,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,289810.8598041638,440420.8806773259
MOZ,Mozambique,350079,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,115688.35888932529,352552.6956882272
NER,Niger,235299,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,87917.9461459738,224964.50232134457
TCD,Chad,133369,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,48483.38426911733,128674.62220049344
