iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,11614764.0,4162518656.0,1770232060,0.4252790693077917,0.0,0,1.0,6675247.975850356
YEM,Yemen,7489676.0,2478772922.0,1384559671,0.5585665627986879,0.0,0,1.0,3306193.4202041747
AFG,Afghanistan,5757529.0,2416811546.0,1154426288,0.4776650003640789,0.0,0,1.0,3007358.9081188054
COL,Colombia,3975631.0,809539590.0,231936658,0.28650440431208557,0.0,0,1.0,2836595.208580339
COD,Democratic Republic of the Congo,4035452.0,2538016151.0,797415042,0.3141883244855679,0.0,0,1.0,2767560.097578066
MMR,Myanmar,4180701.0,1412961603.0,518131403,0.36669885572255,0.0,0,1.0,2647642.7271818793
SOM,Somalia,4114394.0,1430543255.0,530480862,0.37082476195380754,0.0,0,1.0,2588674.824365826
HTI,Haiti,3645045.0,908159989.0,303204493,0.33386682596958145,0.0,0,1.0,2428085.3953337073
NGA,Nigeria,3413048.0,910246471.0,324189433,0.35615566039365615,0.0,0,1.0,2197471.6356047527
UKR,Ukraine,6879303.0,2633534010.0,1872723652,0.7111066896759005,0.0,0,1.0,1987384.6163925086
SSD,South Sudan,4243317.0,1694778653.0,917826590,0.5415613350895799,0.0,0,1.0,1945300.580271689
VEN,Venezuela,2264058.0,606497714.0,143911895,0.23728349122845993,0.0,0,1.0,1726834.4134162755
MLI,Mali,2335122.0,771314315.0,244494817,0.3169846743995669,0.0,0,1.0,1594924.1131467344
BFA,Burkina Faso,2490889.0,792565236.0,338563009,0.4271736806281016,0.0,0,1.0,1426846.7778339484
CMR,Cameroon,1431605.0,359298328.0,113951363,0.3171497168781704,0.0,0,1.0,977571.8795686269
TCD,Chad,881687.0,1454258243.0,579851381,0.398726556160906,0.0,0,1.0,530134.9788781593
MOZ,Mozambique,774717.0,682722983.0,220790886,0.3233974708597147,0.0,0,1.0,524175.4815679744
NER,Niger,885186.0,603027582.0,251802743,0.417564221797072,0.0,0,1.0,515563.99676433706
CAF,Central African Republic,401176.0,326056578.0,154783670,0.47471414608295376,0.0,0,1.0,210732.0777310249
SLV,El Salvador,309400.0,66923449.0,21594106,0.32266875546118373,0.0,0,1.0,209566.28706030973
