iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,11614764,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,6675247.975850356
YEM,Yemen,7489676,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,3306193.4202041747
AFG,Afghanistan,5757529,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,3007358.9081188054
COL,Colombia,3975631,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,2836595.208580339
COD,Democratic Republic of the Congo,4035452,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,2767560.097578066
MMR,Myanmar,4180701,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,2647642.7271818793
SOM,Somalia,4114394,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,2588674.824365826
HTI,Haiti,3645045,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,2428085.3953337073
NGA,Nigeria,3413048,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,2197471.6356047527
UKR,Ukraine,6879303,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1987384.6163925086
SSD,South Sudan,4243317,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1945300.580271689
VEN,Venezuela,2264058,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1726834.4134162755
MLI,Mali,2335122,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1594924.1131467344
BFA,Burkina Faso,2490889,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1426846.7778339484
CMR,Cameroon,1431605,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,977571.8795686269
TCD,Chad,881687,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,530134.9788781593
MOZ,Mozambique,774717,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,524175.4815679744
NER,Niger,885186,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,515563.99676433706
CAF,Central African Republic,401176,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,210732.0777310249
SLV,El Salvador,309400,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,209566.28706030973
