iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,11983704,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,6887285.516019939
AFG,Afghanistan,6740806,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,3520958.899555815
NGA,Nigeria,3561247,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,2292888.722890073
HTI,Haiti,3081737,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,2052847.24933698
COL,Colombia,2352341,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1678384.9430561042
YEM,Yemen,3744838,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1653096.7101020874
BFA,Burkina Faso,2793542,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1600214.3818708116
MMR,Myanmar,2090350,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,1323821.0469403677
SOM,Somalia,2057197,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1294337.412182913
VEN,Venezuela,1662724,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1268187.0443306502
COD,Democratic Republic of the Congo,1564217,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,1072758.2816381585
UKR,Ukraine,3439651,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,993692.1637495991
CMR,Cameroon,1433189,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,978653.5144170919
MLI,Mali,1167561,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,797462.0565733672
SSD,South Sudan,1579032,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,723889.3219308304
TCD,Chad,1086701,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,653404.4526933873
NER,Niger,1065649,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,620672.1046061721
MOZ,Mozambique,873062,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,590715.9572962758
SLV,El Salvador,203484,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,137826.07096373648
CAF,Central African Republic,200588,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,105366.03886551246
