iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,3744838,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1653096.7101020874
SDN,Sudan,2793901,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,1605713.3829818915
MMR,Myanmar,2090350,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,1323821.0469403677
SOM,Somalia,2057197,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1294337.412182913
UKR,Ukraine,3439651,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,993692.1637495991
COL,Colombia,1335986,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,953220.126900714
MLI,Mali,1167561,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,797462.0565733672
SSD,South Sudan,1697346,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,778129.0341310418
HTI,Haiti,1008971,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,672109.0547346455
AFG,Afghanistan,1191093,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,622149.5617213482
COD,Democratic Republic of the Congo,793543,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,544221.054422749
VEN,Venezuela,700543,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,534315.711204341
NGA,Nigeria,811929,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,522755.8908122391
BFA,Burkina Faso,499007,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,285844.34315081284
CMR,Cameroon,346439,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,236565.96923444353
MOZ,Mozambique,157114,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,106303.72976334678
CAF,Central African Republic,200588,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,105366.03886551246
NER,Niger,172331,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,100371.74009348878
TCD,Chad,161617,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,97176.01017294286
SLV,El Salvador,92399,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,62584.729664142076
