iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,3744838,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1653096.7101020874
SDN,Sudan,2829010,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,1625891.2601375643
MMR,Myanmar,2090350,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,1323821.0469403677
SOM,Somalia,2057197,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1294337.412182913
COL,Colombia,1463473,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1044181.5399081792
UKR,Ukraine,3439651,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,993692.1637495991
SSD,South Sudan,1756454,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,805226.4267365669
MLI,Mali,1167561,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,797462.0565733672
HTI,Haiti,1095204,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,729551.7167308106
AFG,Afghanistan,1196032,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,624729.37428455
VEN,Venezuela,732152,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,558424.4173301006
COD,Democratic Republic of the Congo,770562,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,528460.4163077518
NGA,Nigeria,820250,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,528113.3195621035
BFA,Burkina Faso,595110,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,340894.67092141043
CMR,Cameroon,368570,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,251678.12885021273
MOZ,Mozambique,181071,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,122513.0965539606
TCD,Chad,176719,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,106256.44172180085
CAF,Central African Republic,200588,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,105366.03886551246
NER,Niger,180030,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,104855.91314987313
SLV,El Salvador,115257,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,78067.16725181034
