iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,11614764.0,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,20025743.92755107
YEM,Yemen,7489676.0,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,9918580.260612525
AFG,Afghanistan,5757529.0,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,9022076.724356417
COL,Colombia,3975631.0,809539590.0,231936658,0.28650440431208557,1903251829.0,5,3.0,8509785.625741016
COD,Democratic Republic of the Congo,4035452.0,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,8302680.292734198
MMR,Myanmar,4180701.0,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,7942928.181545638
SOM,Somalia,4114394.0,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,7766024.473097477
HTI,Haiti,3645045.0,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,7284256.186001122
NGA,Nigeria,3413048.0,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,6592414.906814259
UKR,Ukraine,6879303.0,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,5962153.849177526
SSD,South Sudan,4243317.0,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,5835901.740815067
VEN,Venezuela,2264058.0,606497714.0,143911895,0.23728349122845993,2035593043.0,5,3.0,5180503.240248826
MLI,Mali,2335122.0,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,4784772.339440203
BFA,Burkina Faso,2490889.0,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,4280540.333501846
CMR,Cameroon,1431605.0,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,2932715.6387058804
TCD,Chad,881687.0,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,1590404.936634478
MOZ,Mozambique,774717.0,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,1572526.444703923
NER,Niger,885186.0,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,1546691.990293011
CAF,Central African Republic,401176.0,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,632196.2331930747
SLV,El Salvador,309400.0,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,628698.8611809292
