iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,11614764,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,4576562.27230713,11251810.248157486
COL,Colombia,3975631,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,3738731.0346015813,6575326.24318192
COD,Democratic Republic of the Congo,4035452,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,3072804.3264821926,5840364.424060259
AFG,Afghanistan,5757529,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,2801155.4902755553,5808514.398394361
YEM,Yemen,7489676,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2211047.751489932,5517241.171694107
VEN,Venezuela,2264058,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,3039550.2620136794,4766384.675429955
NGA,Nigeria,3413048,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,2539337.9710741346,4736809.606678887
HTI,Haiti,3645045,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,2221694.10203923,4649779.497372937
MMR,Myanmar,4180701,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,1505355.168147081,4152997.8953289604
SOM,Somalia,4114394,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,1466851.037663326,4055525.862029152
SSD,South Sudan,4243317,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1977046.2656391102,3922346.845910799
BFA,Burkina Faso,2490889,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,2021174.090303495,3448020.8681374434
MLI,Mali,2335122,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1769669.1741178113,3364593.2872645454
UKR,Ukraine,6879303,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,572376.4301894334,2559761.046581942
CMR,Cameroon,1431605,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1268307.3109067515,2245879.190475378
TCD,Chad,881687,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,320518.0336216456,850653.0124998048
NER,Niger,885186,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,330744.01113974117,846308.0079040782
MOZ,Mozambique,774717,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,256015.7516836526,780191.233251627
SLV,El Salvador,309400,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,403257.26991342014,612823.5569737299
CAF,Central African Republic,401176,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,124216.9686231081,334949.046354133
