iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,11983704,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,4721935.599285188,11609221.115305128
AFG,Afghanistan,6740806,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,3279539.8400568026,6800498.7396126175
NGA,Nigeria,3561247,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,2649599.3409626377,4942488.063852711
HTI,Haiti,3081737,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,1878351.8219764286,3931199.0713134087
COL,Colombia,2352341,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,2212169.6658129785,3890554.6088690828
BFA,Burkina Faso,2793542,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,2266754.8455891074,3866969.2274599187
VEN,Venezuela,1662724,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,2232245.450362329,3500432.4946929794
YEM,Yemen,3744838,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1105523.875744966,2758620.5858470537
COD,Democratic Republic of the Congo,1564217,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,1191076.6786860544,2263834.960324213
CMR,Cameroon,1433189,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1269710.630104768,2248364.14452186
MMR,Myanmar,2090350,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,752677.4040373255,2076498.4509776933
SOM,Somalia,2057197,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,733425.518831663,2027762.931014576
MLI,Mali,1167561,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,884834.5870589056,1682296.6436322727
SSD,South Sudan,1579032,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,735702.5927887678,1459591.9147195981
UKR,Ukraine,3439651,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,286188.17349337786,1279880.337242977
TCD,Chad,1086701,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,395046.3913550681,1048450.8440484554
NER,Niger,1065649,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,398172.84133171337,1018844.9459378854
MOZ,Mozambique,873062,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,288515.1922526976,879231.1495489734
SLV,El Salvador,203484,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,265211.3843279327,403037.45529166923
CAF,Central African Republic,200588,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,62108.48431155405,167474.5231770665
