iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,3744838,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1105523.875744966,2758620.5858470537
SDN,Sudan,2793901,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1100880.0444986364,2706593.427480528
COL,Colombia,1335986,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,1256377.2442646786,2209597.3711653925
MMR,Myanmar,2090350,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,752677.4040373255,2076498.4509776933
SOM,Somalia,2057197,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,733425.518831663,2027762.931014576
MLI,Mali,1167561,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,884834.5870589056,1682296.6436322727
SSD,South Sudan,1697346,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,790827.4519196848,1568956.4860507266
VEN,Venezuela,700543,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,940495.1901417053,1474810.9013460465
HTI,Haiti,1008971,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,614978.6682547469,1287087.7229893925
UKR,Ukraine,3439651,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,286188.17349337786,1279880.337242977
AFG,Afghanistan,1191093,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,579491.0796591353,1201640.6413804835
COD,Democratic Republic of the Congo,793543,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,604245.1660061026,1148466.2204288514
NGA,Nigeria,811929,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,604082.3743223802,1126838.2651346193
BFA,Burkina Faso,499007,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,404907.6531632185,690751.9963140313
CMR,Cameroon,346439,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,306922.0326020265,543488.00183647
SLV,El Salvador,92399,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,120428.46956279932,183013.1992269414
CAF,Central African Republic,200588,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,62108.48431155405,167474.5231770665
NER,Niger,172331,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,64390.361103454794,164762.10119694358
MOZ,Mozambique,157114,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,51920.45457893063,158224.1843422774
TCD,Chad,161617,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,58752.32711816041,155928.33729110326
