iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,3744838,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1105523.875744966,2758620.5858470537
SDN,Sudan,2829010,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1114714.0341361728,2740605.294273737
COL,Colombia,1463473,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,1376267.546812438,2420449.086720617
MMR,Myanmar,2090350,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,752677.4040373255,2076498.4509776933
SOM,Somalia,2057197,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,733425.518831663,2027762.931014576
MLI,Mali,1167561,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,884834.5870589056,1682296.6436322727
SSD,South Sudan,1756454,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,818367.0514050395,1623593.4781416063
VEN,Venezuela,732152,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,982931.0041676669,1541355.4214977673
HTI,Haiti,1095204,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,667538.6085301479,1397090.3252609586
UKR,Ukraine,3439651,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,286188.17349337786,1279880.337242977
AFG,Afghanistan,1196032,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,581894.0040675874,1206623.3783521373
NGA,Nigeria,820250,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,610273.2720939053,1138386.5916560087
COD,Democratic Republic of the Congo,770562,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,586746.2300190341,1115206.646326786
BFA,Burkina Faso,595110,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,482888.20291892294,823782.8738403334
CMR,Cameroon,368570,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,326528.6343515854,578206.7632017981
SLV,El Salvador,115257,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,150220.501481613,228287.66873342334
MOZ,Mozambique,181071,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,59837.37051479529,182350.46706875588
NER,Niger,180030,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,67267.04254867068,172122.9556985438
TCD,Chad,176719,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,64242.32906188204,170498.77078368288
CAF,Central African Republic,200588,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,62108.48431155405,167474.5231770665
