iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,25512902,4162518656.0,1770232060,0.4252790693077917,0.0,0,1.0,14662798.782099104
AFG,Afghanistan,20973271,2416811546.0,1154426288,0.4776650003640789,0.0,0,1.0,10955073.500149075
YEM,Yemen,15219855,2478772922.0,1384559671,0.5585665627986879,0.0,0,1.0,6718552.906355577
COD,Democratic Republic of the Congo,6216647,2538016151.0,797415042,0.3141883244855679,0.0,0,1.0,4263449.095151768
NGA,Nigeria,5201361,910246471.0,324189433,0.35615566039365615,0.0,0,1.0,3348866.838099192
SOM,Somalia,5242782,1430543255.0,530480862,0.37082476195380754,0.0,0,1.0,3298628.6128742932
COL,Colombia,4260446,809539590.0,231936658,0.28650440431208557,0.0,0,1.0,3039809.4566661925
VEN,Venezuela,3758757,606497714.0,143911895,0.23728349122845993,0.0,0,1.0,2866866.0163605874
HTI,Haiti,3854002,908159989.0,303204493,0.33386682596958145,0.0,0,1.0,2567278.584979581
UKR,Ukraine,8520347,2633534010.0,1872723652,0.7111066896759005,0.0,0,1.0,2461471.2499400103
SSD,South Sudan,5010139,1694778653.0,917826590,0.5415613350895799,0.0,0,1.0,2296841.4341756273
MLI,Mali,3256054,771314315.0,244494817,0.3169846743995669,0.0,0,1.0,2223934.7829825925
TCD,Chad,3613063,1454258243.0,579851381,0.398726556160906,0.0,0,1.0,2172438.8328176085
MMR,Myanmar,3165068,1412961603.0,518131403,0.36669885572255,0.0,0,1.0,2004441.18611594
BFA,Burkina Faso,2830634,792565236.0,338563009,0.4271736806281016,0.0,0,1.0,1621461.655708954
CMR,Cameroon,2155114,359298328.0,113951363,0.3171497168781704,0.0,0,1.0,1471620.2050598187
HND,Honduras,1165525,138491372.0,28315487,0.20445668629811828,0.0,0,1.0,927225.6207023857
CAF,Central African Republic,1642660,326056578.0,154783670,0.47471414608295376,0.0,0,1.0,862866.0607953751
NER,Niger,1083602,603027582.0,251802743,0.417564221797072,0.0,0,1.0,631128.5741322492
MOZ,Mozambique,861906,682722983.0,220790886,0.3233974708597147,0.0,0,1.0,583167.7794811868
GTM,Guatemala,762174,100563396.0,43065791,0.4282451937084543,0.0,0,1.0,435776.6477304525
SLV,El Salvador,587316,66923449.0,21594106,0.32266875546118373,0.0,0,1.0,397807.4772175594
MOZ,Mozambique,350000,682722983.0,220790886,0.3233974708597147,0.0,0,1.0,236810.88519909987
