iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,26323312,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,15128558.371541375
AFG,Afghanistan,24555111,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,12825993.895245003
NGA,Nigeria,5427211,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,3494279.082199285
YEM,Yemen,7609927,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,3359276.2324610697
TCD,Chad,4453189,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,2677584.2860963712
HTI,Haiti,3258402,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,2170529.666527064
VEN,Venezuela,2760431,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,2105426.295024731
BFA,Burkina Faso,3174567,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1818475.5302094892
COL,Colombia,2520863,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1798624.647832623
COD,Democratic Republic of the Congo,2409689,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,1652592.8505586963
SOM,Somalia,2621391,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1649314.3064371466
CMR,Cameroon,2157499,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,1473248.8029850642
UKR,Ukraine,4260173,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1230735.48052335
MLI,Mali,1628027,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1111967.3914912962
MMR,Myanmar,1582534,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,1002220.59305797
MOZ,Mozambique,1365749,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,924069.2275708155
SSD,South Sudan,1864383,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,854705.2534016836
NER,Niger,1304516,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,759796.7916381708
HND,Honduras,918937,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,731054.186063266
CAF,Central African Republic,821330,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,431433.0303976876
GTM,Guatemala,621776,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,355503.41643673205
SLV,El Salvador,386262,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,261627.32117805223
