iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,6137062,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,3527097.9843557854
YEM,Yemen,7609927,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,3359276.2324610697
AFG,Afghanistan,4338861,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,2266338.9588553123
SOM,Somalia,2621391,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1649314.3064371466
UKR,Ukraine,4260173,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1230735.48052335
MLI,Mali,1628027,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1111967.3914912962
COL,Colombia,1431697,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1021509.5038596
MMR,Myanmar,1582534,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,1002220.59305797
SSD,South Sudan,2004079,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,918747.3011350097
VEN,Venezuela,1163032,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,887063.7066295817
COD,Democratic Republic of the Congo,1222460,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,838377.3408493727
NGA,Nigeria,1237350,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,796660.7936119095
HTI,Haiti,1066812,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,710638.863653739
CAF,Central African Republic,821330,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,431433.0303976876
TCD,Chad,662291,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,398217.9903936374
CMR,Cameroon,521524,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,356122.81105482904
BFA,Burkina Faso,567069,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,324832.048099903
HND,Honduras,333764,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,265523.71855439484
MOZ,Mozambique,245777,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,166293.3398045119
GTM,Guatemala,216399,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,123727.16832668419
NER,Niger,210959,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,122870.0693339115
SLV,El Salvador,175397,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,118801.86829837474
