iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,6214183,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,3571421.0372516993
YEM,Yemen,7609927,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,3359276.2324610697
AFG,Afghanistan,4356854,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,2275737.3325037616
SOM,Somalia,2621391,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1649314.3064371466
UKR,Ukraine,4260173,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1230735.48052335
COL,Colombia,1568317,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1118987.272142483
MLI,Mali,1628027,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1111967.3914912962
MMR,Myanmar,1582534,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,1002220.59305797
SSD,South Sudan,2073868,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,950741.2771204431
VEN,Venezuela,1215508,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,927088.0181438772
COD,Democratic Republic of the Congo,1187058,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,814098.2359128108
NGA,Nigeria,1250031,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,804825.3836824575
HTI,Haiti,1157988,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,771374.2219291364
TCD,Chad,724176,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,435427.79746561975
CAF,Central African Republic,821330,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,431433.0303976876
BFA,Burkina Faso,676280,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,387390.9832648274
CMR,Cameroon,554840,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,378872.6510873159
HND,Honduras,372291,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,296173.61580138723
MOZ,Mozambique,283253,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,191649.69618657322
SLV,El Salvador,218787,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,148191.27099891397
GTM,Guatemala,234885,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,134296.6276757897
NER,Niger,220384,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,128359.52654347409
