iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,25512902,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,43988396.34629731
AFG,Afghanistan,20973271,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,32865220.500447225
YEM,Yemen,15219855,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,20155658.71906673
COD,Democratic Republic of the Congo,6216647,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,12790347.285455305
NGA,Nigeria,5201361,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,10046600.514297575
SOM,Somalia,5242782,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,9895885.83862288
COL,Colombia,4260446,809539590.0,231936658,0.28650440431208557,1903251829.0,5,3.0,9119428.369998578
VEN,Venezuela,3758757,606497714.0,143911895,0.23728349122845993,2035593043.0,5,3.0,8600598.049081761
HTI,Haiti,3854002,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,7701835.754938744
UKR,Ukraine,8520347,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,7384413.749820031
SSD,South Sudan,5010139,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,6890524.302526882
MLI,Mali,3256054,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,6671804.348947777
TCD,Chad,3613063,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,6517316.4984528255
MMR,Myanmar,3165068,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,6013323.55834782
BFA,Burkina Faso,2830634,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,4864384.967126862
CMR,Cameroon,2155114,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,4414860.615179456
HND,Honduras,1165525,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,2781676.862107157
CAF,Central African Republic,1642660,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,2588598.1823861254
NER,Niger,1083602,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,1893385.7223967477
MOZ,Mozambique,861906,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,1749503.3384435603
GTM,Guatemala,762174,100563396.0,43065791,0.4282451937084543,161129045.0,4,3.0,1307329.9431913574
SLV,El Salvador,587316,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,1193422.4316526782
MOZ,Mozambique,350000,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,710432.6555972996
