iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,25512902,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,10052841.775370477,24715640.55746958
AFG,Afghanistan,20973271,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,10203924.845309,21158998.345458075
YEM,Yemen,15219855,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,4493095.051875782,11211647.95823136
COD,Democratic Republic of the Congo,6216647,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,4733680.340594447,8997129.435746215
VEN,Venezuela,3758757,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,5046218.261279416,7913084.277640004
NGA,Nigeria,5201361,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,3869858.6977282865,7218725.535827478
COL,Colombia,4260446,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,4006574.473698431,7046383.930364624
SOM,Somalia,5242782,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,1869140.4413244347,5167769.054198728
HTI,Haiti,3854002,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,2349055.639271229,4916334.22425081
MLI,Mali,3256054,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,2467596.293925112,4691531.076907705
SSD,South Sudan,5010139,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,2334323.973505365,4631165.407680992
BFA,Burkina Faso,2830634,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,2296852.2884528954,3918313.944161849
TCD,Chad,3613063,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,1313450.065738889,3485888.8985564974
CMR,Cameroon,2155114,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1909288.415475982,3380908.6205358007
UKR,Ukraine,8520347,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,708915.6851842764,3170386.9351242865
MMR,Myanmar,3165068,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,1139653.725855292,3144094.911971232
HND,Honduras,1165525,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,1043420.0221851728,1970645.6428875583
CAF,Central African Republic,1642660,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,508620.27060052135,1371486.3313958966
MOZ,Mozambique,1211906,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,400490.79284426273,1220469.4575245492
SLV,El Salvador,587316,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,765479.7890642219,1163287.2662817813
NER,Niger,1083602,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,404880.86341067957,1036009.4375429288
GTM,Guatemala,762174,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,488481.3903612802,924258.0380917327
